"filename", "language", "TypeScript JSX", "JSON with Comments", "JSON", "CSS", "TypeScript", "XML", "HTML", "Markdown", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\Home\mycoffee_front\coffee\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Home\mycoffee_front\coffee\src\reportWebVitals.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Home\mycoffee_front\coffee\src\serverHost.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Home\mycoffee_front\coffee\src\setupTests.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 1, 6
"c:\Users\Home\mycoffee_front\coffee\src\styles\About.css", "CSS", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\Home\mycoffee_front\coffee\src\styles\AdminProfile.css", "CSS", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 15, 97
"c:\Users\Home\mycoffee_front\coffee\src\styles\Chat.css", "CSS", 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 15, 107
"c:\Users\Home\mycoffee_front\coffee\src\styles\FAQ.css", "CSS", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 6, 67
"c:\Users\Home\mycoffee_front\coffee\src\styles\Futer.css", "CSS", 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 5, 82
"c:\Users\Home\mycoffee_front\coffee\src\styles\Header.css", "CSS", 0, 0, 0, 293, 0, 0, 0, 0, 0, 0, 10, 303
"c:\Users\Home\mycoffee_front\coffee\src\styles\Home.css", "CSS", 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 2, 53
"c:\Users\Home\mycoffee_front\coffee\src\styles\ItemAdmin.css", "CSS", 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 22, 176
"c:\Users\Home\mycoffee_front\coffee\src\styles\KastomCheckBox.css", "CSS", 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 10, 88
"c:\Users\Home\mycoffee_front\coffee\src\styles\Login.css", "CSS", 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 3, 81
"c:\Users\Home\mycoffee_front\coffee\src\styles\OrderHistory.css", "CSS", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 6, 29
"c:\Users\Home\mycoffee_front\coffee\src\styles\Pagination.css", "CSS", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 6, 36
"c:\Users\Home\mycoffee_front\coffee\src\styles\Reset.css", "CSS", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 3, 52
"c:\Users\Home\mycoffee_front\coffee\src\styles\SelectGender.css", "CSS", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 10, 71
"c:\Users\Home\mycoffee_front\coffee\src\styles\Shipment.css", "CSS", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 52
"c:\Users\Home\mycoffee_front\coffee\src\styles\basket.css", "CSS", 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 23, 142
"c:\Users\Home\mycoffee_front\coffee\src\styles\contact.css", "CSS", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\Home\mycoffee_front\coffee\src\styles\kartKorz.css", "CSS", 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 107
"c:\Users\Home\mycoffee_front\coffee\src\styles\katalog.css", "CSS", 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 5, 134
"c:\Users\Home\mycoffee_front\coffee\src\styles\modal.css", "CSS", 0, 0, 0, 73, 0, 0, 0, 0, 0, 1, 6, 80
"c:\Users\Home\mycoffee_front\coffee\src\styles\stickyFooter.css", "CSS", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\Home\mycoffee_front\coffee\tsconfig.json", "JSON with Comments", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 4424, 26, 21368, 1738, 14, 84, 19, 26, 270, 56, 725, 28750
